PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PriceperSQFT,HOA
Single Family Residential,1219 E 29th St,Tacoma,WA,98404,360000,4,1,East Tacoma,1431,6500,1911,39,252,0
Single Family Residential,4809 6th Ave,Tacoma,WA,98406,499950,3,2,North Tacoma,1436,4512,1925,40,348,0
Multi-Family (2-4 Unit),3566 S D St,Tacoma,WA,98418,749000,5,3,Tacoma,2541,7841,1905,40,295,0
Single Family Residential,2034 Browns Pt Blvd,Tacoma,WA,98422,999500,3,2,Browns Point,2061,32000,1964,40,485,0
Single Family Residential,11622 44th Ave E,Tacoma,WA,98446,650000,3,2.5,Summit,2087,48252,2021,41,311,0
Single Family Residential,9517 Portland Ave E,Tacoma,WA,98445,299900,4,2,Se Tacoma,1692,12500,1945,41,177,0
Single Family Residential,4847 S M St,Tacoma,WA,98408,470000,4,2,South Tacoma,2100,5850,1909,41,224,0
Single Family Residential,8126 Canyon Rd E,Puyallup,WA,98371,349950,2,1,Tacoma,1505,13891,1900,41,233,0
Single Family Residential,6323 Hawthorne Ter NE,Tacoma,WA,98422,698000,3,2.5,Tacoma,1385,7800,1983,44,504,0
Single Family Residential,2810 185 Street Ct E,Tacoma,WA,98445,520000,3,2,Spanaway,1883,8272,2012,45,276,1
Multi-Family (2-4 Unit),3533 S K St,Tacoma,WA,98418,499950,4,2,South Tacoma,1800,6500,1964,45,278,0
Single Family Residential,3012 Vista View Dr,Tacoma,WA,98407,2450000,4,4.5,Narrows,6812,23381,1982,46,360,0
Condo/Co-op,1953 S I St #9,Tacoma,WA,98405,195000,1,1,Central Tacoma,540,734,1963,46,361,1
Single Family Residential,620 115th St S,Tacoma,WA,98444,369900,3,1,Parkland,1298,7500,1942,47,285,0
Single Family Residential,718 138th St E,Tacoma,WA,98448,600000,3,3,Brookdale,2742,30056,1958,47,219,0
Single Family Residential,2320 S Cushman Ave,Tacoma,WA,98405,450000,3,1.5,Hilltop,2124,4875,1910,47,212,0
