PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PriceperSQFT,HOA
Condo/Co-op,7318 N Skyview Pl Unit D301,Tacoma,WA,98406,350000,2,1.5,Narrows,1008,2178,1980,4,347,1
Single Family Residential,1119 N Cedar St,Tacoma,WA,98406,674999,3,1.5,North Tacoma,2559,4800,1928,5,264,0
Single Family Residential,624 E Division Ln,Tacoma,WA,98404,469000,3,3,Indian Addition,2264,5325,1911,5,207,0
Single Family Residential,6814 S Thompson,Tacoma,WA,98408,399950,3,1,Tacoma,1232,7313,1955,5,325,0
Single Family Residential,216 S 56th St,Tacoma,WA,98408,415000,3,2,Se Tacoma,2354,6000,1946,5,176,0
Single Family Residential,7036 S Junett St,Tacoma,WA,98409,500000,4,1,South Tacoma,2060,7405,1936,5,243,0
Single Family Residential,2509 S 15th St,Tacoma,WA,98405,504900,3,2,Central Tacoma,1672,6000,1920,5,302,0
Single Family Residential,9016 S Park Ave,Tacoma,WA,98444,475000,6,2,Fern Hill,2122,7200,1994,5,224,0
Single Family Residential,3626 163rd St E,Tacoma,WA,98446,749950,4,2.5,Midland,2474,128066,2021,5,303,0
Single Family Residential,609 E Harrison St,Tacoma,WA,98404,549950,4,2,Central Tacoma,3188,6500,1925,5,173,0
Single Family Residential,902 132nd St E,Tacoma,WA,98445,319000,3,2,Tacoma,1508,5922,1998,5,212,0
Condo/Co-op,720 6th Ave #201,Tacoma,WA,98405,290000,2,1,Stadium District,931,,1925,5,311,1
Single Family Residential,905 132nd St E,Tacoma,WA,98445,360000,3,2,Parkland,1296,9313,2019,5,278,0
Single Family Residential,3705 28th Ave E,Tacoma,WA,98404,500000,3,2,Tacoma,1454,51836,1943,5,344,0
Single Family Residential,3838 S G St,Tacoma,WA,98418,411000,3,2,Lincoln,1386,3724,1922,5,297,0
Single Family Residential,5601 S Warner St,Tacoma,WA,98409,499900,4,2,South Tacoma,2704,5400,1910,5,185,0
Single Family Residential,6423 S Verde St,Tacoma,WA,98409,379000,3,1.5,Manitou,1280,6900,1912,5,296,0
Single Family Residential,1855 56th St NE,Tacoma,WA,98422,1150000,4,3.5,Browns Point,3075,10454,1994,5,374,0
Single Family Residential,6430 22nd Street Ct NE,Tacoma,WA,98422,749950,4,3.5,Ne Tacoma,2817,5100,2021,5,266,1
Single Family Residential,5640 Fife St,Tacoma,WA,98409,425000,3,1.5,South Tacoma,1797,5160,1932,5,237,0
Single Family Residential,7710 49th Ave E,Tacoma,WA,98443,498500,3,2,Summit,1872,10912,1965,5,266,0
Single Family Residential,828 N Fife St,Tacoma,WA,98406,440000,3,1,North Tacoma,1763,3750,1914,5,250,0
Condo/Co-op,5002 S 30th St Unit B3,Tacoma,WA,98409,259000,2,1.5,Fircrest,1034,1698,2004,5,250,1
Single Family Residential,629 68th Ave E,Tacoma,WA,98424,824990,5,3,Fife Heights,2907,19877,2015,5,284,0
Single Family Residential,6820 S Puget Sound Ave,Tacoma,WA,98409,350000,3,1,South Tacoma,1239,5600,1918,5,282,0
Single Family Residential,4408 Harbor Ridge Rd NE,Tacoma,WA,98422,799950,3,2.5,Harbor Ridge,3037,8700,1986,5,263,1
Single Family Residential,2710 S 12th St,Tacoma,WA,98405,399950,3,1,Central Tacoma,960,6000,1900,5,417,0
Condo/Co-op,7324 N Skyview Pl Unit E203,Tacoma,WA,98406,325000,2,1.5,Narrows,1026,2178,1980,5,317,1
Condo/Co-op,9917 Alaska St S,Tacoma,WA,98444,319950,3,2,Parkland,1620,6840,1986,5,198,1
Single Family Residential,948 N Cedar St,Tacoma,WA,98406,799950,6,2.5,Tacoma,3866,10500,1948,5,207,0
Condo/Co-op,7320 N Skyview Pl Unit D303,Tacoma,WA,98406,340000,2,1.5,Narrows,1026,,1980,5,331,1
Single Family Residential,3421 64th St E,Tacoma,WA,98443,450000,2,2,Summit,1244,146797,1980,5,362,0
Single Family Residential,11803 Park Ave S,Tacoma,WA,98444,419995,3,1,Parkland,1829,10000,1932,5,230,0
Condo/Co-op,625 N Jackson Ave Unit D14,Tacoma,WA,98406,324900,2,2,Tacoma,997,1558,1992,6,326,1
Single Family Residential,5512 N 47th St,Tacoma,WA,98407,567000,4,2,North Tacoma,1554,5000,1978,6,365,0
Condo/Co-op,4714 Fairwood Blvd NE #1205,Tacoma,WA,98422,390000,2,2,Northshore,1534,3597,1994,6,254,1
Single Family Residential,3017 S Melrose St,Tacoma,WA,98405,375000,4,1.5,Central Tacoma,1524,4500,1910,6,246,0
Single Family Residential,6427 22nd Street Ct NE,Tacoma,WA,98422,729950,5,3.5,Ne Tacoma,2603,5335,2021,6,280,1
Single Family Residential,6422 S I St,Tacoma,WA,98408,374999,3,2.5,Tacoma,1574,8531,1954,6,238,0
Single Family Residential,1151 S 35 St,Tacoma,WA,98418,428000,4,2,Lincoln,1640,6325,1924,6,261,0
Single Family Residential,1008 S Junett St,Tacoma,WA,98405,480000,4,2,Tacoma,1932,3000,1927,6,248,0
Multi-Family (5+ Unit),505 N L St,Tacoma,WA,98403,1385000,5,4,North Tacoma,5100,6500,1922,6,272,0
Single Family Residential,1032 S Oxford St,Tacoma,WA,98465,349900,2,1,Tacoma,746,7000,1943,6,469,0
Multi-Family (5+ Unit),14117 C St S,Tacoma,WA,98444,5995000,48,30,Brookdale,20400,48787,1972,6,294,0
Single Family Residential,2036 E Harrison,Tacoma,WA,98404,360000,3,2,East Tacoma,1012,6500,1914,6,356,0
Vacant Land,6412 46th Avenue Ct E,Tacoma,WA,98443,135000,,,Puyallup,,18113,,6,,0
Vacant Land,102 E 25th St,Tacoma,WA,98421,1300000,,,Tacoma,,10691,,7,,0
Condo/Co-op,1515 Dock St #419,Tacoma,WA,98402,899950,2,2,Port of Tacoma,1864,,2008,7,483,1
Single Family Residential,1320 N Fir St,Tacoma,WA,98406,1100000,8,6,North Tacoma,4352,10125,1969,7,253,0
Single Family Residential,1402 S 78th St,Tacoma,WA,98408,419950,4,1.5,Fern Hill,1550,6875,1971,7,271,0
Vacant Land,7029 S Trafton St,Tacoma,WA,98411,75000,,,South Tacoma,,5003,,8,,0
Single Family Residential,6901 East Side Dr NE,Tacoma,WA,98422,570000,3,2,Browns Point,2264,10890,1954,8,252,0
Single Family Residential,4817 N Bristol St,Tacoma,WA,98407,525000,3,2,North Tacoma,1290,6960,1964,10,407,0
Single Family Residential,1512 S 52nd St,Tacoma,WA,98408,430000,3,1,South Tacoma,966,6400,1894,10,445,0
Single Family Residential,5428 S State St,Tacoma,WA,98409,575000,4,2.5,Tacoma Mall,2332,5020,2019,10,247,0
Single Family Residential,3202 E Grandview Ave,Tacoma,WA,98404,549500,6,3,East Tacoma,2400,13000,1942,11,229,0
Condo/Co-op,219 N Tacoma Ave Unit A-401,Tacoma,WA,98403,1175000,3,2,Stadium District,1931,,1915,11,608,1
Single Family Residential,802 N Pine St,Tacoma,WA,98406,539000,4,2,Ups,2199,3375,1900,11,245,0
Condo/Co-op,4961 Main St #218,Tacoma,WA,98407,579950,2,2,North Tacoma,1000,618,2018,11,580,1
Single Family Residential,1204 S 8th St,Tacoma,WA,98405,519900,4,2,Central Tacoma,2778,1800,1925,11,187,0
Multi-Family (2-4 Unit),2513 S 13th St,Tacoma,WA,98405,650000,3,3,Central Tacoma,1468,5640,1944,11,443,0
Single Family Residential,3438 View Point Cir NE,Tacoma,WA,98422,599000,5,2.5,Harbor Ridge,2006,6000,1996,11,299,1
Condo/Co-op,6114 16th St Unit J106,Tacoma,WA,98406,275000,2,1.5,Highlands,972,3049,1977,11,283,1
Single Family Residential,523 143rd St S,Tacoma,WA,98444,459000,4,2,Parkland,2808,10522,1963,11,163,0
Single Family Residential,5622 S Thompson Ave,Tacoma,WA,98408,375000,2,1,South Tacoma,762,6000,1920,11,492,0
Single Family Residential,1927 Lighthouse Ln NE,Tacoma,WA,98422,760000,3,2,Ne Tacoma,2560,10588,2000,11,297,1
Single Family Residential,903 104th St E,Tacoma,WA,98445,695000,5,2,Parkland,2280,125888,1946,11,305,0
Single Family Residential,2722 N 30th St,Tacoma,WA,98407,925000,4,2.5,Old Town,1788,6000,1904,11,517,0
Single Family Residential,7426 S Prospect St,Tacoma,WA,98409,435000,3,2,South Tacoma,1830,10440,1949,11,238,0
Single Family Residential,4135 N 36th St,Tacoma,WA,98407,795000,3,1.5,Proctor,2344,6000,1914,11,339,0
Condo/Co-op,2103 N Oakes St Unit D,Tacoma,WA,98406,469900,3,2.5,North Tacoma,1728,1422,2007,12,272,1
Condo/Co-op,1102 S 27th St Unit C204,Tacoma,WA,98409,209000,2,1,Hilltop,790,,1968,12,265,1
Single Family Residential,19034 23rd Avenue Ct E,Tacoma,WA,98445,575000,5,2.5,Bethel,2974,5362,2012,12,193,1
Single Family Residential,1427 E Morton St,Tacoma,WA,98404,325000,2,1,Tacoma,625,6500,1940,12,520,0
Multi-Family (2-4 Unit),3827 S K St,Tacoma,WA,98418,720000,6,3.5,Lincoln,3120,4810,1910,12,231,0
Single Family Residential,1812 135th Street Ct S,Tacoma,WA,98444,994950,4,3.5,Spanaway,3547,13587,2021,12,281,1
Single Family Residential,1751 E 38th St,Tacoma,WA,98404,369950,2,1,East Tacoma,1204,3263,2006,12,307,1
Single Family Residential,1605 S Monroe St,Tacoma,WA,98405,424950,3,1,Tacoma,965,6000,1952,12,440,0
Single Family Residential,1025 E 43rd St,Tacoma,WA,98404,499950,3,2,East Tacoma,1535,14000,1941,12,326,0
Single Family Residential,10430 Portland Ave E,Tacoma,WA,98445,279995,3,1,Midland,1280,12090,1942,12,219,0
Single Family Residential,641 E 84th St,Tacoma,WA,98445,470000,4,2,Fern Hill,1620,8428,1958,12,290,0
Single Family Residential,4419 N 26th St,Tacoma,WA,98407,550000,4,2,Proctor,2028,6000,1918,12,271,0
Townhouse,1004 108th Street Ct E #88,Tacoma,WA,98445,335000,3,2.5,Midland,1352,3341,2008,12,248,1
Single Family Residential,5001 N Visscher,Tacoma,WA,98407,799000,4,2.5,North Tacoma,2795,5092,2014,12,286,0
Single Family Residential,10102 Yakima Ave S,Tacoma,WA,98444,429950,3,2,Parkland,1200,9875,1942,12,358,0
Single Family Residential,3518 E J St E,Tacoma,WA,98404,310000,2,1,McKinley,752,2500,1915,13,412,0
Single Family Residential,3822 S Ainsworth Ave,Tacoma,WA,98418,525000,5,2.5,Lincoln,2654,6500,1951,13,198,0
Multi-Family (2-4 Unit),10205 13th Avenue Ct E,Tacoma,WA,98445,499950,3,2,Midland,1407,8250,1965,13,355,0
Single Family Residential,6102 Bayview Dr NE,Tacoma,WA,98422,1100000,3,3,Browns Point,3538,10720,1979,13,311,0
Single Family Residential,5106 N 46th St,Tacoma,WA,98407,649950,4,2.5,Tacoma,2376,4687,1925,13,274,0
Multi-Family (2-4 Unit),3710 S M St,Tacoma,WA,98418,325000,2,1,Lincoln,,6500,1905,13,,0
Vacant Land,6600 Soundview Dr NE,Tacoma,WA,98422,29000,,,Dash Point,,5500,,14,,0
Vacant Land,1410 Poe Ave NE,Tacoma,WA,98422,69000,,,Dash Point,,9290,,14,,0
Multi-Family (2-4 Unit),1809 1811 99th St E,Tacoma,WA,98445,675000,3,2.5,Parkland,3238,5750,1918,15,208,0
Single Family Residential,1852 50th St NE,Tacoma,WA,98422,525000,3,2,Browns Point,1176,7500,1987,16,446,0
Vacant Land,909 S Wright Ave,Tacoma,WA,98418,99950,,,Lincoln,,5525,,16,,0
Single Family Residential,4052 E Spokane St,Tacoma,WA,98404,375000,3,1,Se Tacoma,939,3800,1949,17,399,0
Single Family Residential,410 E 75th St,Tacoma,WA,98404,379950,3,1,South Tacoma,964,5000,1977,17,394,0
Single Family Residential,1203 104th St E,Tacoma,WA,98445,349000,2,1,Tacoma,864,43348,1988,17,404,0
Single Family Residential,3625 N Verde St,Tacoma,WA,98407,789000,4,3.5,Proctor,2340,5250,1915,18,337,0
Single Family Residential,2313 S Cushman Ave,Tacoma,WA,98405,469990,3,2.5,Central Tacoma,2246,4875,1924,18,209,0
Single Family Residential,6631 S Mullen St,Tacoma,WA,98409,375000,2,1,Manitou,760,7130,1943,18,493,0
Single Family Residential,4002 S Asotin St,Tacoma,WA,98418,334800,2,1,South Tacoma,856,6200,1950,18,391,0
Single Family Residential,1716 S State St,Tacoma,WA,98405,399900,2,1,Central Tacoma,1152,15750,1925,18,347,0
Single Family Residential,214 S 67th St,Tacoma,WA,98408,425000,4,2.5,Se Tacoma,2080,7400,1941,18,204,0
Single Family Residential,3717 Fawcett Ave,Tacoma,WA,98418,399950,2,2,South Tacoma,1306,5254,1956,19,306,0
Single Family Residential,4307 N 9th St,Tacoma,WA,98406,699950,4,2,North Tacoma,2632,5950,1960,19,266,0
Single Family Residential,308 115th Street Ct E,Tacoma,WA,98445,399999,3,2.5,Parkland,1456,4856,2014,19,275,1
Single Family Residential,911 N Alder St,Tacoma,WA,98406,589950,3,3,Ups,2660,7056,1919,19,222,0
Single Family Residential,5915 S I St,Tacoma,WA,98408,389000,3,1,South Tacoma,1443,6000,1955,19,270,0
Single Family Residential,501 143rd St S,Tacoma,WA,98444,539000,4,2,Parkland,2592,16189,1962,19,208,0
Single Family Residential,6816 S Warner St,Tacoma,WA,98409,549990,4,3,South Tacoma,2340,5500,2016,19,235,0
Condo/Co-op,1501 Tacoma Ave S #602,Tacoma,WA,98402,690000,2,2,New Tacoma,1275,471,2006,19,541,1
Single Family Residential,1213 E 29th St,Tacoma,WA,98404,460000,3,3.5,East Tacoma,2180,3250,2008,19,211,0
Condo/Co-op,1501 Tacoma Ave S #215,Tacoma,WA,98402,359950,1,1,Tacoma,790,278,2006,20,456,1
Single Family Residential,3021 S 15th St,Tacoma,WA,98405,579000,3,2.5,Central Tacoma,2028,8867,1930,20,286,0
Single Family Residential,2734 57th Ave NE,Tacoma,WA,98422,430000,3,1,Ne Tacoma,1331,14952,1919,20,323,0
Single Family Residential,3802 S Ainsworth Ave,Tacoma,WA,98418,370000,3,1.5,Tacoma,1424,6500,1924,20,260,0
Single Family Residential,5105 N 38th St,Tacoma,WA,98407,839950,4,3.5,Tacoma,2731,5430,2021,20,308,0
Single Family Residential,5757 Sealawn Ave NE,Tacoma,WA,98422,1100000,4,3.5,Browns Point,3346,7500,2004,21,329,0
Vacant Land,4207 Forest St,Tacoma,WA,98407,99000,,,North Tacoma,,7800,,23,,0
Single Family Residential,4040 E C St,Tacoma,WA,98404,399990,3,1,Tacoma,1060,7100,1942,24,377,0
Single Family Residential,1947 S L St,Tacoma,WA,98405,469500,3,1.5,Tacoma,1364,6500,1907,24,344,0
Single Family Residential,11928 9th Avenue Ct E,Tacoma,WA,98445,474950,4,2.5,Tacoma,1972,2935,2008,25,241,1
Single Family Residential,517 E 35th St,Tacoma,WA,98406,379500,2,1,McKinley,860,6500,1895,25,441,0
Single Family Residential,4137 S M St,Tacoma,WA,98418,409900,3,1,Tacoma,1280,6500,1941,25,320,0
Single Family Residential,118 Harvard Ave,Fircrest,WA,98466,550000,3,2,Fircrest,1992,8250,1943,25,276,0
Vacant Land,703 N Stadium Way,Tacoma,WA,98403,350000,,,North Tacoma,,7261,,25,,0
Vacant Land,4715 Marine View Dr,Tacoma,WA,98422,100000,,,Browns Point,,243936,,25,,0
