MDL_Raw,MDL_Score,SPR_Raw,SPR_score,HRPU_Raw,HPRU_score,SDC_Raw,SDC_score,LTK_Raw,LTK_score,X2MR_Finish,2MR_score,APFT_pushups,APFT_situps,APFT_runtime_sec,APFT_score,IOCT_Score,IOCT_time,age,hgt_in,wt_lb,BMI,Sex,ACFT_Score
260,82,9.3,79,25,67,1:39,98,8,76,15:10,88,84,83,738,322,940,2.29,23,74,189,23.67359805,Male,490
220,74,8.1,71,36,76,1:50,90,11,82,13:27,100,90,83,755,310,806,2.48,23,69,181,27.57849964,Male,493
240,78,9.6,81,29,69,2:02,78,3,65,17:49,71,75,81,900,272,690,3.21,21,72,221,29.49202728,Male,442
300,90,6.3,65,24,67,1:56,84,16,92,15:34,86,98,77,852,273,750,2.59,23,67,159,24.17024215,Male,484
260,82,8,70,46,86,1:29,100,20,100,13:39,98,98,90,722,343,960,2.25,21,66,155,24.17024215,Male,536
260,82,9.5,80,47,87,1:30,100,12,84,14:36,92,76,89,731,325,836,2.43,21,71,164,22.92118342,Male,525
220,74,9.9,82,18,64,1:34,100,10,80,14:58,90,73,84,745,314,872,2.4,22,75,180,22.77297204,Male,490
300,90,8.7,75,33,73,1:28,100,14,88,16:12,81,80,80,818,283,734,3.03,23,72,189,24.45884214,Male,507
260,82,8.8,75,33,73,1:45,95,11,82,14:26,93,77,93,726,331,914,2.34,22,72,166,22.6416568,Male,500
300,90,10.4,86,37,77,1:34,100,7,74,14:47,91,75,81,748,313,896,2.37,21,69,191,27.3191641,Male,518
300,90,11.6,94,36,76,1:33,100,16,92,14:51,90,78,79,796,288,936,2.3,22,70,191,27.67281317,Male,542
340,100,12.3,99,50,90,1:33,100,25,100,14:16,94,88,91,725,323,914,2.34,21,68,162,25.11193989,Male,583
140,60,8.3,73,16,63,1:50,90,1,60,17:28,73,50,69,884,284,772,4.23,21,68,201,30.32111286,Female,419
200,70,7.8,69,23,66,1:49,91,4,68,17:14,75,75,77,828,278,690,3.18,22,67,180,28.25093238,Male,439
340,100,11.7,95,38,78,1:27,100,10,80,15:00,89,67,68,831,265,710,3.12,22,72,244,31.59817985,Male,542
160,63,5,62,20,65,2:33,65,0,0,18:49,65,45,79,971,279,758,4.27,21,63,135,24.56016642,Female,320
170,64,5.3,62,14,62,2:10,70,0,0,15:59,83,46,99,885,328,780,4.13,21,67,157,23.8563429,Female,341
260,82,10.7,88,36,76,1:25,100,15,90,14:07,95,60,70,782,229,690,3.2,22,73,194,25.82251236,Male,531
220,74,8.8,75,28,69,1:40,98,5,70,13:50,97,80,84,734,321,830,2.44,22,74,194,25.25210189,Male,483
340,100,12.2,98,47,87,1:26,100,11,82,14:00,96,77,81,760,297,872,2.4,22,74,205,26.37547609,Male,563
300,90,9.2,78,54,94,1:31,100,25,100,12:27,100,105,104,687,375,994,2.15,22,69,174,25.00911992,Male,562
300,90,12.9,100,39,79,1:27,100,12,84,15:05,89,74,84,794,293,782,2.52,23,74,197,25.64873176,Male,542
300,90,9.3,79,47,87,1:35,100,13,86,15:01,89,76,83,788,288,890,2.38,23,69,175,25.16238799,Male,531
